snoring,respirationrate,bodytemperature,sleepinghours,heartrate,stresslevel
83,5,80.32,0.71,38,5
47,11,99.15,6.82,83,2
41,15,97.85,7.08,78,1
71,7,100.39,5.04,46,4
64,25,99.68,5.74,53,3
60,9,96.13,6.33,54,3
54,10,96.78,6.8,84,2
61,9,95.99,5.63,53,3
53,11,99.35,6.51,56,2
36,14,97.15,8.36,77,1
58,8,99.81,5.63,87,3
64,26,99.84,6.0,90,3
81,3,81.45,1.77,37,5
36,20,97.4,8.69,66,1
39,17,98.9,7.8,67,1
83,2,80.01,3.15,44,5
74,29,100.63,5.27,93,4
55,11,99.25,9.47,83,2
71,27,95.01,10.13,45,4
88,5,81.6,3.5,37,5
34,12,97.8,8.0,72,1
70,7,95.09,10.33,95,4
86,33,83.25,0.12,37,5
65,26,96.29,5.87,86,3
61,8,96.16,6.0,90,3
74,6,100.2,10.31,94,4
79,4,83.22,2.89,115,5
52,11,96.72,6.7,55,2
49,10,96.72,6.82,56,2
55,21,96.74,9.16,55,2
85,36,83.36,1.96,39,5
30,17,97.12,7.91,77,1
67,30,95.35,5.09,98,4
47,21,99.3,6.64,82,2
47,23,96.53,9.17,85,2
82,39,80.67,1.98,117,5
53,23,96.83,9.37,84,2
77,5,105.2,1.72,120,5
64,25,96.08,6.16,53,3
70,29,95.07,10.21,46,4
81,3,82.01,0.82,115,5
78,39,82.39,3.34,123,5
31,15,97.22,8.36,78,1
48,11,96.64,9.32,59,2
83,1,80.92,1.42,112,5
57,8,99.81,6.29,50,3
60,8,95.92,5.87,54,3
86,36,106.89,0.24,36,5
87,4,81.48,0.33,124,5
50,10,99.23,9.42,83,2
39,17,98.04,8.41,70,1
69,27,95.13,10.12,46,4
71,6,95.11,5.26,94,4
33,12,98.99,8.23,70,1
57,25,96.35,6.03,52,3
70,29,100.22,10.47,97,4
47,11,96.8,6.56,82,2
44,15,98.99,7.56,72,1
75,28,95.41,5.38,94,4
34,19,97.48,7.04,78,1
54,23,96.8,9.49,55,2
82,32,84.07,2.47,119,5
78,4,105.79,1.75,38,5
63,24,96.19,6.33,52,3
85,36,106.0,1.34,110,5
81,37,81.0,0.4,40,5
63,8,99.77,5.8,53,3
70,6,100.48,10.17,95,4
77,38,80.37,1.19,43,5
89,38,105.57,1.61,123,5
76,4,84.61,3.91,128,5
86,35,106.25,1.37,113,5
67,28,95.09,10.29,91,4
42,16,97.33,8.04,76,1
90,35,106.42,0.42,128,5
78,2,80.82,0.49,125,5
57,9,96.07,5.74,86,3
82,32,84.62,3.29,38,5
76,5,81.14,0.64,127,5
55,11,99.29,6.83,57,2
65,9,96.38,6.33,89,3
51,21,99.15,6.9,55,2
56,8,99.63,5.83,53,3
69,30,95.66,5.09,49,4
48,11,99.28,9.29,84,2
46,10,96.76,6.8,59,2
68,29,95.3,5.16,48,4
82,4,80.63,1.93,38,5
51,22,99.33,9.13,55,2
62,9,96.15,5.55,86,3
49,23,96.85,9.22,82,2
52,22,96.56,6.73,82,2
57,9,96.39,6.04,52,3
37,18,97.64,8.88,77,1
63,26,99.68,6.33,53,3
53,21,96.88,9.07,81,2
63,9,99.92,6.36,50,3
90,33,83.74,1.61,127,5
30,14,98.68,7.2,61,1
66,27,100.61,5.31,45,4
76,5,83.52,3.46,115,5
65,8,99.8,6.33,88,3
40,19,98.74,7.14,68,1
47,23,99.5,9.4,84,2
49,10,99.26,9.03,84,2
55,22,96.62,9.12,83,2
50,22,96.89,9.37,81,2
72,30,100.55,5.23,49,4
74,27,100.41,5.05,100,4
69,6,100.1,10.43,48,4
89,4,81.54,0.04,124,5
70,28,95.61,5.08,92,4
83,2,84.28,2.2,43,5
42,19,97.78,8.21,71,1
42,16,98.18,8.26,76,1
66,28,100.17,10.02,93,4
53,22,99.13,9.19,57,2
38,13,97.46,8.51,76,1
66,7,100.2,10.09,49,4
52,22,99.38,9.44,55,2
45,13,97.36,8.06,78,1
52,23,96.81,6.53,85,2
42,13,98.07,7.82,62,1
53,11,99.27,9.19,59,2
85,40,105.34,3.27,44,5
63,24,99.96,5.52,50,3
90,39,107.14,2.05,129,5
43,13,98.82,7.64,72,1
38,18,97.05,8.72,65,1
46,10,99.3,6.68,56,2
84,2,80.77,2.96,40,5
51,22,96.83,6.9,81,2
60,26,96.32,5.85,54,3
58,26,99.63,5.64,90,3
73,27,95.43,10.12,49,4
57,9,99.86,6.01,88,3
53,22,96.54,9.32,85,2
30,16,98.99,8.83,80,1
64,8,95.95,5.59,88,3
76,40,80.07,3.26,128,5
55,21,96.89,9.04,82,2
89,37,109.26,2.84,120,5
87,5,107.63,1.95,35,5
64,24,96.16,5.85,53,3
90,34,105.74,3.43,37,5
35,20,98.21,8.22,61,1
55,21,99.3,9.48,58,2
43,16,98.47,7.35,72,1
84,35,83.01,3.86,44,5
53,22,99.14,9.31,85,2
54,10,99.27,9.07,83,2
62,9,100.0,6.13,53,3
54,10,96.51,6.89,55,2
48,10,96.87,9.1,57,2
34,16,97.29,8.6,66,1
51,22,99.42,6.61,85,2
48,11,96.73,9.07,57,2
55,10,99.26,9.19,83,2
83,0,105.99,1.45,42,5
60,9,99.77,6.29,52,3
48,11,99.41,9.09,58,2
65,24,96.36,5.59,86,3
42,20,97.79,7.76,74,1
69,7,100.7,10.05,98,4
38,19,98.63,8.52,74,1
70,28,95.37,10.48,49,4
63,9,99.72,6.11,90,3
48,22,99.14,9.49,85,2
87,34,109.78,1.22,121,5
69,7,100.14,10.33,47,4
56,25,99.78,5.89,53,3
78,2,83.42,3.35,35,5
65,8,96.24,5.54,86,3
51,10,99.24,9.42,57,2
59,8,99.64,6.23,53,3
57,24,99.9,5.88,87,3
52,22,99.37,9.12,56,2
61,24,99.76,5.82,90,3
38,18,97.42,8.53,68,1
63,24,99.85,5.78,51,3
40,16,97.28,8.53,70,1
75,30,95.15,10.1,48,4
49,21,96.65,6.82,57,2
50,11,99.32,9.4,57,2
61,9,99.64,6.2,87,3
54,23,99.32,9.32,84,2
52,10,96.82,6.74,57,2
57,8,95.93,6.14,53,3
59,25,96.1,6.07,86,3
63,26,96.22,5.55,90,3
52,23,96.72,6.81,84,2
67,7,95.24,10.11,93,4
60,8,99.89,5.78,89,3
57,24,99.62,5.69,87,3
40,17,97.38,7.83,74,1
57,25,99.75,6.36,54,3
84,4,105.93,0.46,123,5
86,40,108.33,1.97,123,5
55,21,96.85,9.04,82,2
48,21,96.79,6.74,56,2
66,30,95.64,5.31,93,4
44,20,97.71,7.57,75,1
69,30,95.15,10.07,48,4
68,28,95.33,10.5,48,4
60,24,99.84,5.82,51,3
48,11,99.38,6.57,58,2
51,11,99.12,6.85,83,2
55,21,96.56,6.63,83,2
33,19,98.81,7.7,72,1
84,35,82.05,3.11,120,5
51,22,96.79,6.75,58,2
84,36,80.2,3.87,41,5
48,21,99.23,9.22,81,2
47,11,99.47,6.82,55,2
86,2,80.17,2.24,42,5
61,8,95.96,5.53,54,3
32,15,98.07,8.71,65,1
42,15,98.74,7.12,78,1
36,18,97.72,8.53,63,1
69,6,95.24,10.37,47,4
64,8,96.1,6.3,52,3
43,13,97.23,7.97,70,1
63,24,99.62,5.74,86,3
74,7,100.55,5.24,99,4
61,8,96.34,5.57,54,3
62,25,96.2,5.74,53,3
41,18,97.42,8.42,75,1
88,3,82.44,1.29,110,5
35,18,97.89,7.8,68,1
76,37,107.0,3.01,120,5
62,24,96.35,5.83,50,3
50,11,96.78,6.54,57,2
69,7,100.7,10.05,100,4
48,11,99.3,9.34,85,2
32,12,97.45,7.45,73,1
70,7,95.67,5.2,49,4
67,6,95.09,5.06,97,4
70,7,95.01,5.11,48,4
76,4,105.13,2.03,127,5
46,21,99.34,9.33,58,2
90,5,105.77,3.93,41,5
39,14,97.49,7.42,62,1
50,11,96.71,9.17,56,2
54,11,99.23,9.34,56,2
75,7,100.6,5.05,99,4
66,7,100.66,10.0,91,4
46,22,99.48,9.34,58,2
71,7,100.41,10.26,45,4
83,36,106.92,0.98,128,5
57,8,96.18,6.21,86,3
38,14,98.26,7.33,72,1
74,30,95.24,10.46,98,4
37,14,97.24,8.41,70,1
81,1,81.36,2.62,114,5
62,26,96.32,5.84,52,3
38,18,97.24,7.83,75,1
72,6,100.63,10.17,96,4
50,10,96.71,6.65,84,2
48,21,96.62,9.45,56,2
79,0,105.92,3.3,116,5
71,30,95.73,10.29,97,4
66,28,100.2,5.21,93,4
41,12,98.28,8.36,71,1
89,36,82.64,3.51,116,5
60,8,99.9,5.51,90,3
66,28,100.32,5.32,48,4
33,18,98.31,7.44,80,1
57,8,99.85,6.39,89,3
73,6,95.71,10.24,96,4
75,29,95.53,10.14,92,4
61,26,96.36,5.86,90,3
49,21,96.83,6.74,56,2
84,31,107.87,0.54,114,5
35,17,97.23,7.47,64,1
45,15,97.97,7.31,70,1
70,6,100.16,5.21,95,4
47,22,96.74,9.1,59,2
65,8,99.83,6.32,51,3
36,14,98.26,7.81,73,1
90,38,82.54,0.26,125,5
75,29,100.68,5.01,95,4
77,3,105.23,1.08,129,5
85,2,105.57,1.41,38,5
75,7,100.54,5.34,93,4
65,24,99.73,5.66,90,3
61,24,95.93,5.77,88,3
56,8,99.76,6.16,53,3
56,8,96.08,6.33,86,3
77,0,109.58,1.54,37,5
70,6,100.28,5.33,46,4
65,9,96.0,6.4,52,3
68,27,100.7,5.08,49,4
78,2,81.57,0.3,124,5
63,9,99.86,6.34,52,3
30,17,98.94,7.93,60,1
37,13,98.27,8.03,74,1
80,1,84.85,0.75,115,5
34,20,97.22,7.38,75,1
82,0,109.19,3.91,41,5
47,11,96.75,9.08,83,2
44,16,98.94,8.37,75,1
64,25,99.87,5.74,54,3
51,10,96.6,6.7,81,2
65,25,99.93,6.35,50,3
83,40,107.83,3.11,130,5
69,27,95.76,5.11,48,4
31,18,97.38,8.2,74,1
89,36,108.19,3.93,110,5
39,16,98.53,7.81,72,1
61,24,96.2,5.87,87,3
56,24,96.34,5.85,87,3
34,14,97.16,8.96,65,1
60,26,99.61,6.19,53,3
56,9,96.26,5.77,54,3
73,27,95.13,10.36,96,4
66,6,100.49,10.29,47,4
41,20,97.38,8.89,79,1
33,14,98.99,7.45,62,1
70,29,100.26,5.02,45,4
90,39,105.35,2.24,35,5
62,8,99.72,5.77,52,3
52,23,96.61,9.13,59,2
35,19,97.53,8.41,75,1
51,22,96.83,9.23,55,2
78,40,107.42,0.92,125,5
37,18,97.65,7.82,72,1
62,8,99.97,5.64,54,3
89,2,84.03,0.93,44,5
72,30,100.44,5.13,47,4
62,8,96.31,5.65,86,3
36,18,98.3,8.02,72,1
58,8,99.97,5.53,86,3
46,11,96.68,6.57,83,2
61,26,96.01,6.32,54,3
42,16,97.01,8.91,64,1
46,11,99.34,6.63,83,2
64,8,96.09,6.34,53,3
70,30,95.14,5.22,93,4
44,14,98.44,8.38,73,1
52,10,99.36,6.6,58,2
44,13,98.44,7.53,80,1
53,10,96.6,9.38,84,2
65,9,96.08,6.02,54,3
71,6,100.31,5.15,47,4
90,2,105.71,2.11,40,5
68,30,95.73,10.27,48,4
55,21,96.82,9.09,81,2
72,28,100.28,10.18,92,4
75,7,95.6,10.16,91,4
37,18,98.11,8.6,79,1
73,29,95.03,10.21,49,4
68,6,100.56,5.36,99,4
46,11,99.33,6.56,84,2
60,8,99.89,6.26,88,3
40,20,98.95,7.24,77,1
55,21,96.55,6.76,81,2
68,30,95.1,5.18,45,4
66,7,95.41,5.05,91,4
60,8,96.25,5.86,89,3
83,36,107.12,2.78,38,5
78,5,84.27,3.81,38,5
55,10,99.27,9.25,59,2
42,20,97.36,8.23,73,1
70,6,100.51,5.23,96,4
74,7,95.04,5.27,99,4
61,24,95.92,6.39,88,3
84,37,81.24,1.4,37,5
90,36,105.21,2.51,130,5
54,21,99.36,6.81,83,2
66,6,100.48,10.22,45,4
54,10,96.77,9.09,83,2
47,11,99.2,9.42,84,2
57,24,99.64,5.56,50,3
68,6,100.29,5.37,47,4
46,11,99.23,6.67,55,2
67,6,95.31,5.06,49,4
35,16,98.69,7.41,71,1
53,11,96.85,6.74,84,2
54,11,96.87,9.01,56,2
69,27,100.58,10.21,92,4
77,40,108.18,0.38,42,5
69,30,100.22,5.15,45,4
64,8,99.63,6.06,88,3
70,6,95.53,10.11,93,4
77,0,84.34,1.48,122,5
65,25,96.15,6.25,53,3
61,25,99.89,5.65,86,3
69,6,100.22,10.47,95,4
58,26,99.71,6.21,90,3
61,24,99.99,5.89,88,3
53,10,99.38,9.03,57,2
46,10,96.63,6.54,83,2
60,24,99.76,6.32,51,3
86,0,80.23,0.13,38,5
45,19,98.91,8.86,61,1
33,18,97.78,7.84,76,1
66,6,100.49,10.02,99,4
81,0,109.44,3.87,120,5
49,10,96.67,6.65,59,2
73,7,95.48,10.34,45,4
77,39,83.89,0.19,40,5
60,9,99.98,6.33,86,3
73,27,100.17,10.24,95,4
70,6,100.4,10.15,49,4
62,9,96.16,6.13,88,3
80,37,80.57,2.56,120,5
40,15,99.0,8.06,62,1
70,29,100.63,10.33,48,4
47,10,96.72,6.71,57,2
38,12,97.16,8.54,74,1
68,30,95.43,5.21,98,4
62,9,99.76,6.11,53,3
50,10,99.13,9.4,59,2
74,28,95.8,5.21,49,4
48,11,99.26,6.58,85,2
67,6,95.14,5.0,91,4
58,8,99.93,5.57,52,3
49,10,96.52,9.42,55,2
90,33,107.16,1.76,121,5
90,34,107.15,1.54,118,5
64,8,99.71,6.1,89,3
48,23,99.4,9.45,55,2
42,13,98.18,8.68,76,1
57,8,95.98,5.81,54,3
56,8,99.65,6.38,52,3
57,8,99.82,6.18,90,3
34,18,97.95,7.18,61,1
33,13,97.88,8.06,78,1
47,21,99.11,6.84,55,2
63,26,99.97,6.18,52,3
50,23,99.13,6.54,84,2
41,12,97.9,8.7,78,1
68,29,100.4,10.36,96,4
47,22,96.81,6.69,85,2
38,12,97.92,7.5,63,1
67,7,95.75,10.04,45,4
89,3,109.53,3.37,126,5
53,10,99.33,6.78,57,2
65,24,99.79,6.21,87,3
69,6,95.4,5.04,95,4
58,25,96.28,5.64,53,3
50,23,96.6,6.69,83,2
67,7,95.36,5.2,96,4
80,1,105.1,1.82,117,5
52,10,99.45,9.26,84,2
63,9,99.89,5.6,89,3
65,26,99.95,6.21,51,3
82,35,83.27,2.53,130,5
65,26,96.18,5.87,52,3
58,9,99.65,6.34,50,3
70,30,100.35,10.41,94,4
61,25,99.9,6.2,52,3
55,21,99.47,6.66,56,2
67,28,100.15,5.23,48,4
87,3,82.08,2.83,114,5
37,13,97.98,8.69,77,1
78,34,80.84,0.48,129,5
80,35,108.95,3.62,36,5
90,35,105.07,3.66,38,5
61,26,99.92,5.7,87,3
51,11,96.86,6.55,84,2
33,14,98.1,8.15,71,1
32,13,98.43,7.06,60,1
55,10,96.67,6.82,56,2
83,3,84.46,0.52,36,5
46,11,99.24,9.15,82,2
66,28,100.55,10.01,48,4
70,6,95.76,5.1,96,4
70,7,95.42,5.14,46,4
56,25,96.0,5.68,54,3
52,22,96.75,9.45,57,2
66,7,100.56,10.33,95,4
83,0,109.91,0.56,130,5
77,3,107.77,2.66,43,5
68,7,100.24,10.39,98,4
57,25,99.94,6.15,89,3
38,12,98.38,8.77,60,1
73,28,100.54,5.08,95,4
87,5,82.07,0.57,44,5
79,31,81.22,2.23,119,5
90,5,81.28,0.2,38,5
63,24,96.15,5.67,89,3
32,16,98.27,8.03,61,1
45,12,98.95,7.17,69,1
90,38,106.65,3.33,116,5
72,6,95.16,10.22,92,4
61,26,96.06,5.83,89,3
44,12,98.24,8.14,61,1
54,23,96.53,6.87,58,2
62,9,96.17,5.5,54,3
61,24,99.66,5.78,54,3
52,21,99.29,6.82,81,2
72,30,100.39,5.4,48,4
42,16,97.58,7.82,78,1
40,19,98.28,7.88,65,1
73,6,100.37,5.01,47,4
45,17,97.35,7.3,79,1
63,8,99.73,6.23,89,3
35,19,97.9,8.96,78,1
86,38,82.91,1.51,37,5
49,23,96.59,6.68,57,2
31,15,98.12,7.68,62,1
53,22,99.27,9.23,58,2
54,10,96.53,9.4,82,2
54,10,96.59,6.86,81,2
74,7,100.4,10.11,97,4
73,30,95.8,5.08,45,4
75,30,95.66,10.38,96,4
33,18,98.02,7.37,67,1
62,25,99.65,6.4,90,3
41,20,97.37,8.89,78,1
47,11,96.57,9.13,85,2
51,10,99.1,6.59,82,2
36,13,97.88,7.63,71,1
82,2,84.81,3.58,114,5
62,9,96.36,5.6,50,3
33,18,97.89,8.55,71,1
77,38,108.08,2.36,39,5
48,11,96.7,9.46,57,2
37,14,97.93,7.95,64,1
36,16,97.09,8.63,77,1
35,15,98.43,8.07,60,1
72,7,95.18,5.13,48,4
59,9,96.19,5.62,90,3
60,9,99.85,5.71,90,3
61,24,96.3,5.88,87,3
57,8,96.37,5.73,54,3
64,24,95.96,5.54,86,3
49,10,96.55,9.18,81,2
48,23,96.67,6.8,84,2
48,21,99.42,6.54,59,2
38,19,98.49,7.14,63,1
68,7,100.64,10.3,45,4
54,23,99.19,9.2,55,2
73,7,100.68,5.39,92,4
84,39,105.62,3.42,115,5
39,13,97.13,8.64,75,1
36,16,97.58,8.95,61,1
51,11,96.66,6.8,58,2
37,20,97.16,7.0,72,1
73,30,95.48,5.26,92,4
58,8,99.94,5.75,89,3
73,7,100.18,5.37,96,4
65,25,99.94,5.7,89,3
35,15,98.61,7.69,68,1
50,11,99.12,6.55,55,2
48,10,96.64,6.81,59,2
74,7,100.19,5.4,97,4
54,11,96.65,6.54,82,2
63,26,96.36,6.24,86,3
79,0,105.4,2.19,120,5
87,5,105.31,2.88,110,5
68,29,95.79,5.2,91,4
75,29,100.36,5.34,97,4
56,8,96.28,5.8,88,3
59,9,95.93,6.32,86,3
51,22,99.11,9.04,83,2
51,10,96.83,9.46,56,2
78,31,83.37,1.24,43,5
71,7,100.17,10.21,95,4
69,28,95.62,10.39,46,4
80,39,80.27,3.09,112,5
30,13,97.11,7.64,70,1
88,40,81.59,0.82,36,5
67,6,100.27,10.39,96,4
84,33,105.59,3.89,122,5
33,17,97.23,7.18,70,1
72,6,100.44,10.05,49,4
33,15,98.56,7.54,67,1
48,11,99.16,9.25,82,2
44,17,98.6,8.95,70,1
73,6,100.28,5.22,95,4
61,26,99.89,5.56,90,3
77,34,109.18,0.38,125,5
77,37,81.19,0.31,38,5
73,7,100.57,10.14,99,4
53,11,96.81,9.14,83,2
40,18,97.48,7.1,63,1
89,33,81.13,3.74,35,5
49,23,99.12,9.19,58,2
59,26,95.95,6.24,90,3
67,6,100.52,5.13,47,4
50,21,96.73,9.39,59,2
63,25,96.09,6.4,52,3
63,8,99.87,6.39,51,3
60,9,99.69,5.63,86,3
83,3,105.56,1.05,43,5
56,25,99.71,5.58,54,3
73,7,100.19,5.15,48,4
63,24,100.0,5.61,50,3
89,1,105.38,3.26,128,5
51,22,96.86,9.25,83,2
68,7,100.27,5.16,46,4
76,2,80.49,0.64,110,5
50,23,99.43,9.21,83,2
79,0,106.43,0.5,115,5
59,26,99.95,6.18,54,3
72,7,95.08,5.08,46,4
48,10,99.37,9.33,85,2
47,21,96.74,9.33,85,2
65,8,96.16,5.68,50,3
50,11,96.52,9.09,83,2
85,38,84.0,1.87,123,5
54,23,96.6,9.03,58,2
56,26,99.92,5.8,86,3
83,5,105.33,3.22,42,5
61,26,96.11,5.52,89,3
52,11,96.58,9.02,59,2
81,4,84.1,1.22,128,5
31,20,98.37,8.53,79,1
44,13,98.53,8.63,73,1
64,9,99.66,5.73,53,3
33,12,97.31,8.67,72,1
70,6,95.73,10.01,97,4
51,10,99.34,6.87,84,2
73,29,95.45,10.49,45,4
57,9,99.73,6.01,88,3
89,3,108.82,2.32,40,5
33,13,97.61,7.65,73,1
38,19,98.59,8.38,76,1
58,25,96.32,6.17,52,3
74,7,100.45,5.16,92,4
79,38,108.51,3.84,40,5
51,21,96.82,6.51,84,2
30,13,98.52,7.21,71,1
77,5,82.37,1.43,127,5
32,12,98.3,7.32,76,1
80,5,107.31,1.0,122,5
47,23,99.33,9.13,82,2
47,11,96.64,6.71,81,2
49,11,96.7,9.35,57,2
41,14,98.57,7.64,70,1
84,1,105.43,2.22,37,5
66,7,95.38,5.37,45,4
75,27,100.2,5.22,93,4
39,16,97.85,8.63,74,1
51,11,96.57,9.06,82,2
60,26,96.18,6.21,54,3
59,8,99.82,5.77,53,3
77,34,105.24,3.99,116,5
84,5,81.46,3.93,121,5
86,4,106.21,3.98,37,5
36,19,97.84,7.73,68,1
72,6,95.64,5.24,91,4
88,36,108.18,1.53,40,5
74,29,95.64,5.35,100,4
83,38,80.82,2.4,36,5
56,24,96.29,6.36,53,3
61,8,96.15,5.74,51,3
81,3,108.98,1.11,39,5
47,10,99.12,6.75,55,2
38,16,98.96,7.86,65,1
36,19,98.33,8.17,63,1
62,9,96.35,6.25,86,3
30,20,98.97,7.76,77,1
32,17,97.65,7.01,60,1
51,22,96.6,6.76,56,2
46,11,96.8,9.1,55,2
48,10,99.38,9.49,83,2
58,25,100.0,5.65,53,3
61,8,99.84,6.37,54,3
75,7,100.13,10.26,96,4
33,16,98.12,8.82,68,1
83,32,106.89,1.56,122,5
41,16,97.5,8.4,80,1
86,35,83.23,3.81,127,5
87,5,106.53,2.74,125,5
53,21,96.54,9.3,58,2
60,24,95.93,5.75,89,3
82,31,82.85,0.2,128,5
77,5,82.8,2.11,37,5
37,15,97.93,8.59,72,1
46,23,96.65,9.14,83,2
75,28,100.54,5.23,48,4
70,27,100.58,5.36,95,4
67,29,95.38,10.25,45,4
88,4,105.84,1.29,111,5
62,8,99.75,5.56,51,3
76,32,107.1,1.66,129,5
72,28,95.5,10.34,47,4
54,11,99.24,9.43,57,2
43,20,98.02,7.46,75,1
61,8,95.93,5.86,90,3
47,10,99.16,9.04,82,2
32,16,97.29,8.1,80,1
71,30,95.15,5.03,48,4
32,17,98.73,7.58,60,1
57,8,99.61,6.3,52,3
64,8,99.93,6.24,86,3
85,0,80.67,1.09,130,5
56,24,95.99,5.75,89,3
56,8,96.05,6.08,51,3
76,2,80.22,2.95,42,5
45,18,97.65,8.42,74,1
61,8,95.91,6.21,89,3
64,26,99.65,5.7,87,3
51,22,99.13,9.0,81,2
56,8,99.98,6.09,88,3
64,26,96.09,5.8,52,3
59,26,99.86,6.34,88,3
82,4,108.39,0.82,117,5
49,10,99.23,9.02,82,2
59,25,96.13,5.9,51,3
37,16,97.23,8.13,62,1
54,11,99.29,6.87,56,2
83,37,108.87,1.1,127,5
64,26,96.18,5.5,50,3
71,28,95.8,5.16,45,4
34,20,98.19,8.86,69,1
33,14,98.66,7.85,72,1
90,1,83.77,0.28,37,5
51,11,96.87,9.17,85,2
57,9,96.08,6.37,86,3
89,1,109.98,0.75,40,5
60,24,99.91,5.51,89,3
90,5,83.77,2.41,37,5
46,11,99.26,9.06,85,2
62,9,99.77,6.03,89,3
57,8,95.92,5.65,87,3
58,9,99.86,5.9,88,3
46,10,99.42,9.3,57,2
87,31,105.06,0.01,37,5
79,40,106.15,0.86,37,5
81,34,84.67,2.15,126,5
72,27,100.47,10.4,93,4
58,25,95.99,5.58,53,3
87,3,107.89,1.61,112,5
78,3,80.74,1.17,42,5
62,24,100.0,6.2,53,3
41,18,97.25,7.8,75,1
42,14,98.85,7.79,74,1
63,24,99.72,6.01,54,3
58,9,99.75,6.09,89,3
34,19,97.02,8.44,72,1
67,30,100.45,5.31,45,4
53,10,96.56,6.78,57,2
57,8,96.28,5.82,90,3
32,18,98.38,8.39,63,1
65,8,99.87,5.69,51,3
43,16,97.78,8.32,65,1
86,1,81.8,1.35,35,5
48,22,96.69,6.82,84,2
63,25,96.36,6.0,53,3
83,40,84.39,1.89,42,5
39,15,97.54,7.38,68,1
71,6,95.37,10.01,48,4
48,21,96.89,9.3,83,2
52,23,96.65,6.61,84,2
65,8,99.86,5.76,51,3
89,33,82.91,3.95,36,5
68,6,100.23,10.47,98,4
56,8,96.31,6.26,53,3
46,23,96.7,9.47,84,2
36,15,97.51,8.37,60,1
54,22,96.59,6.79,85,2
89,32,84.74,0.18,129,5
86,5,83.12,1.6,39,5
54,11,96.84,9.16,83,2
32,18,98.4,8.33,70,1
66,6,95.26,10.18,97,4
67,6,100.58,5.28,92,4
82,2,107.68,2.06,44,5
72,7,100.15,5.35,49,4
60,9,99.87,5.9,86,3
85,34,106.44,1.93,35,5
51,10,99.33,9.46,82,2
75,27,95.1,10.37,46,4
53,22,99.24,9.07,57,2
31,17,98.26,8.33,65,1
86,35,105.37,3.7,40,5
72,6,100.57,5.21,96,4
66,30,95.08,5.02,48,4
57,25,96.23,6.09,88,3
55,23,96.53,6.79,55,2
79,0,82.19,1.67,124,5
57,25,96.18,6.04,90,3
85,3,108.4,1.52,122,5
33,19,98.2,7.02,65,1
55,11,96.73,9.09,81,2
83,33,108.54,3.64,42,5
58,26,96.05,5.56,89,3
43,18,98.7,8.95,61,1
64,9,96.15,5.74,52,3
48,22,96.71,9.47,83,2
69,29,95.75,5.17,95,4
51,11,99.11,9.43,57,2
87,38,106.8,0.57,40,5
68,29,95.69,10.34,99,4
43,18,97.77,8.29,78,1
84,3,105.41,3.5,121,5
82,36,106.78,1.62,116,5
86,3,81.97,2.16,41,5
68,7,100.55,5.01,48,4
42,12,97.98,7.57,71,1
66,27,100.48,5.08,46,4
35,17,97.24,7.18,73,1
61,9,96.17,5.85,53,3
54,11,99.43,6.52,56,2
71,6,100.52,10.22,47,4
40,18,98.43,8.96,64,1
61,25,99.93,5.78,89,3
39,12,98.64,8.19,74,1
46,23,96.84,9.43,57,2
84,31,106.27,3.01,37,5
80,0,81.61,0.58,118,5
42,17,97.03,7.85,62,1
37,14,97.98,8.36,71,1
67,7,95.71,5.4,49,4
80,1,107.98,0.84,39,5
76,40,84.36,2.04,41,5
67,7,95.52,10.2,47,4
42,20,97.76,7.71,78,1
80,4,84.05,2.97,128,5
74,29,100.44,5.22,97,4
54,11,96.8,9.24,58,2
47,23,99.33,6.67,82,2
59,9,96.04,5.67,90,3
47,11,96.65,6.8,85,2
87,34,108.51,1.53,114,5
68,29,95.08,5.08,46,4
63,26,96.2,6.18,87,3
66,28,100.56,10.34,47,4
46,22,99.49,6.81,81,2
37,13,97.45,7.76,76,1
76,40,109.64,2.96,114,5
43,17,97.64,8.52,60,1
87,39,107.82,0.75,37,5
63,26,99.71,5.52,90,3
70,29,100.28,10.29,94,4
72,27,95.15,10.23,95,4
88,35,109.24,3.97,35,5
49,22,99.44,6.68,55,2
86,32,106.32,3.68,43,5
78,2,83.58,2.2,36,5
56,9,99.74,6.01,87,3
53,11,99.37,6.52,81,2
60,8,99.82,6.04,51,3
75,28,95.59,5.04,48,4
70,6,95.53,5.03,93,4
87,3,106.09,0.29,122,5
58,9,96.27,6.13,54,3
60,9,96.18,6.25,89,3
75,6,100.69,10.24,49,4
44,18,97.09,7.42,79,1
77,3,81.39,0.68,129,5
68,29,95.71,10.23,98,4
73,29,95.2,5.19,92,4
65,24,96.22,5.71,53,3
40,19,98.64,8.53,60,1
79,36,108.83,2.63,44,5
62,24,96.15,5.85,86,3
63,8,99.96,6.19,88,3
51,11,99.47,9.08,85,2
40,17,97.65,7.67,72,1
41,20,98.34,8.34,66,1
48,11,99.15,9.3,57,2
67,6,95.59,5.38,46,4
31,13,97.81,8.71,74,1
60,25,99.67,5.7,86,3
61,26,99.6,6.09,54,3
59,25,96.16,6.12,52,3
66,6,95.43,10.24,95,4
46,22,96.83,9.05,84,2
65,26,99.72,6.36,88,3
78,36,107.89,3.24,39,5
56,24,96.09,5.68,87,3
56,8,99.98,5.64,53,3
33,20,97.56,8.48,74,1
52,10,99.34,9.41,85,2
62,25,99.98,6.27,86,3
64,9,99.94,6.05,50,3
74,28,95.14,10.33,95,4
